VERTEX = 336
0.0 0.0 20.0
0.0 20.0 20.0
0.0 21.0 22.0
0.0 23.0 22.0
0.0 24.0 20.0
0.0 40.0 20.0
0.0 41.0 22.0
0.0 43.0 22.0
0.0 44.0 20.0
0.0 65.0 20.0
0.0 65.0 18.0
0.0 63.0 18.0
0.0 63.0 0.0
0.0 0.0 0.0
5.2 0.0 19.3
5.2 20.0 19.3
5.7 21.0 21.3
5.7 23.0 21.3
5.2 24.0 19.3
5.2 40.0 19.3
5.7 41.0 21.3
5.7 43.0 21.3
5.2 44.0 19.3
5.2 65.0 19.3
4.7 65.0 17.4
4.7 63.0 17.4
0.0 63.0 0.0
0.0 0.0 0.0
10.0 0.0 17.3
10.0 20.0 17.3
11.0 21.0 19.1
11.0 23.0 19.1
10.0 24.0 17.3
10.0 40.0 17.3
11.0 41.0 19.1
11.0 43.0 19.1
10.0 44.0 17.3
10.0 65.0 17.3
9.0 65.0 15.6
9.0 63.0 15.6
0.0 63.0 0.0
0.0 0.0 0.0
14.1 0.0 14.1
14.1 20.0 14.1
15.6 21.0 15.6
15.6 23.0 15.6
14.1 24.0 14.1
14.1 40.0 14.1
15.6 41.0 15.6
15.6 43.0 15.6
14.1 44.0 14.1
14.1 65.0 14.1
12.7 65.0 12.7
12.7 63.0 12.7
0.0 63.0 0.0
0.0 0.0 0.0
17.3 0.0 10.0
17.3 20.0 10.0
19.1 21.0 11.0
19.1 23.0 11.0
17.3 24.0 10.0
17.3 40.0 10.0
19.1 41.0 11.0
19.1 43.0 11.0
17.3 44.0 10.0
17.3 65.0 10.0
15.6 65.0 9.0
15.6 63.0 9.0
0.0 63.0 0.0
0.0 0.0 0.0
19.3 0.0 5.2
19.3 20.0 5.2
21.3 21.0 5.7
21.3 23.0 5.7
19.3 24.0 5.2
19.3 40.0 5.2
21.3 41.0 5.7
21.3 43.0 5.7
19.3 44.0 5.2
19.3 65.0 5.2
17.4 65.0 4.7
17.4 63.0 4.7
0.0 63.0 0.0
FACE = 624
0 14 1
1 14 15
1 15 2
2 15 16
2 16 3
3 16 17
3 17 4
4 17 18
4 18 5
5 18 19
5 19 6
6 19 20
6 20 7
7 20 21
7 21 8
8 21 22
8 22 9
9 22 23
9 23 10
10 23 24
10 24 11
11 24 25
11 25 12
12 25 26
12 26 13
13 26 27
14 28 15
15 28 29
15 29 16
16 29 30
16 30 17
17 30 31
17 31 18
18 31 32
18 32 19
19 32 33
19 33 20
20 33 34
20 34 21
21 34 35
21 35 22
22 35 36
22 36 23
23 36 37
23 37 24
24 37 38
24 38 25
25 38 39
25 39 26
26 39 40
26 40 27
27 40 41
28 42 29
29 42 43
29 43 30
30 43 44
30 44 31
31 44 45
31 45 32
32 45 46
32 46 33
33 46 47
33 47 34
34 47 48
34 48 35
35 48 49
35 49 36
36 49 50
36 50 37
37 50 51
37 51 38
38 51 52
38 52 39
39 52 53
39 53 40
40 53 54
40 54 41
41 54 55
42 56 43
43 56 57
43 57 44
44 57 58
44 58 45
45 58 59
45 59 46
46 59 60
46 60 47
47 60 61
47 61 48
48 61 62
48 62 49
49 62 63
49 63 50
50 63 64
50 64 51
51 64 65
51 65 52
52 65 66
52 66 53
53 66 67
53 67 54
54 67 68
54 68 55
55 68 69
56 70 57
57 70 71
57 71 58
58 71 72
58 72 59
59 72 73
59 73 60
60 73 74
60 74 61
61 74 75
61 75 62
62 75 76
62 76 63
63 76 77
63 77 64
64 77 78
64 78 65
65 78 79
65 79 66
66 79 80
66 80 67
67 80 81
67 81 68
68 81 82
68 82 69
69 82 83
70 84 71
71 84 85
71 85 72
72 85 86
72 86 73
73 86 87
73 87 74
74 87 88
74 88 75
75 88 89
75 89 76
76 89 90
76 90 77
77 90 91
77 91 78
78 91 92
78 92 79
79 92 93
79 93 80
80 93 94
80 94 81
81 94 95
81 95 82
82 95 96
82 96 83
83 96 97
84 98 85
85 98 99
85 99 86
86 99 100
86 100 87
87 100 101
87 101 88
88 101 102
88 102 89
89 102 103
89 103 90
90 103 104
90 104 91
91 104 105
91 105 92
92 105 106
92 106 93
93 106 107
93 107 94
94 107 108
94 108 95
95 108 109
95 109 96
96 109 110
96 110 97
97 110 111
98 112 99
99 112 113
99 113 100
100 113 114
100 114 101
101 114 115
101 115 102
102 115 116
102 116 103
103 116 117
103 117 104
104 117 118
104 118 105
105 118 119
105 119 106
106 119 120
106 120 107
107 120 121
107 121 108
108 121 122
108 122 109
109 122 123
109 123 110
110 123 124
110 124 111
111 124 125
112 126 113
113 126 127
113 127 114
114 127 128
114 128 115
115 128 129
115 129 116
116 129 130
116 130 117
117 130 131
117 131 118
118 131 132
118 132 119
119 132 133
119 133 120
120 133 134
120 134 121
121 134 135
121 135 122
122 135 136
122 136 123
123 136 137
123 137 124
124 137 138
124 138 125
125 138 139
126 140 127
127 140 141
127 141 128
128 141 142
128 142 129
129 142 143
129 143 130
130 143 144
130 144 131
131 144 145
131 145 132
132 145 146
132 146 133
133 146 147
133 147 134
134 147 148
134 148 135
135 148 149
135 149 136
136 149 150
136 150 137
137 150 151
137 151 138
138 151 152
138 152 139
139 152 153
140 154 141
141 154 155
141 155 142
142 155 156
142 156 143
143 156 157
143 157 144
144 157 158
144 158 145
145 158 159
145 159 146
146 159 160
146 160 147
147 160 161
147 161 148
148 161 162
148 162 149
149 162 163
149 163 150
150 163 164
150 164 151
151 164 165
151 165 152
152 165 166
152 166 153
153 166 167
154 168 155
155 168 169
155 169 156
156 169 170
156 170 157
157 170 171
157 171 158
158 171 172
158 172 159
159 172 173
159 173 160
160 173 174
160 174 161
161 174 175
161 175 162
162 175 176
162 176 163
163 176 177
163 177 164
164 177 178
164 178 165
165 178 179
165 179 166
166 179 180
166 180 167
167 180 181
168 182 169
169 182 183
169 183 170
170 183 184
170 184 171
171 184 185
171 185 172
172 185 186
172 186 173
173 186 187
173 187 174
174 187 188
174 188 175
175 188 189
175 189 176
176 189 190
176 190 177
177 190 191
177 191 178
178 191 192
178 192 179
179 192 193
179 193 180
180 193 194
180 194 181
181 194 195
182 196 183
183 196 197
183 197 184
184 197 198
184 198 185
185 198 199
185 199 186
186 199 200
186 200 187
187 200 201
187 201 188
188 201 202
188 202 189
189 202 203
189 203 190
190 203 204
190 204 191
191 204 205
191 205 192
192 205 206
192 206 193
193 206 207
193 207 194
194 207 208
194 208 195
195 208 209
196 210 197
197 210 211
197 211 198
198 211 212
198 212 199
199 212 213
199 213 200
200 213 214
200 214 201
201 214 215
201 215 202
202 215 216
202 216 203
203 216 217
203 217 204
204 217 218
204 218 205
205 218 219
205 219 206
206 219 220
206 220 207
207 220 221
207 221 208
208 221 222
208 222 209
209 222 223
210 224 211
211 224 225
211 225 212
212 225 226
212 226 213
213 226 227
213 227 214
214 227 228
214 228 215
215 228 229
215 229 216
216 229 230
216 230 217
217 230 231
217 231 218
218 231 232
218 232 219
219 232 233
219 233 220
220 233 234
220 234 221
221 234 235
221 235 222
222 235 236
222 236 223
223 236 237
224 238 225
225 238 239
225 239 226
226 239 240
226 240 227
227 240 241
227 241 228
228 241 242
228 242 229
229 242 243
229 243 230
230 243 244
230 244 231
231 244 245
231 245 232
232 245 246
232 246 233
233 246 247
233 247 234
234 247 248
234 248 235
235 248 249
235 249 236
236 249 250
236 250 237
237 250 251
238 252 239
239 252 253
239 253 240
240 253 254
240 254 241
241 254 255
241 255 242
242 255 256
242 256 243
243 256 257
243 257 244
244 257 258
244 258 245
245 258 259
245 259 246
246 259 260
246 260 247
247 260 261
247 261 248
248 261 262
248 262 249
249 262 263
249 263 250
250 263 264
250 264 251
251 264 265
252 266 253
253 266 267
253 267 254
254 267 268
254 268 255
255 268 269
255 269 256
256 269 270
256 270 257
257 270 271
257 271 258
258 271 272
258 272 259
259 272 273
259 273 260
260 273 274
260 274 261
261 274 275
261 275 262
262 275 276
262 276 263
263 276 277
263 277 264
264 277 278
264 278 265
265 278 279
266 280 267
267 280 281
267 281 268
268 281 282
268 282 269
269 282 283
269 283 270
270 283 284
270 284 271
271 284 285
271 285 272
272 285 286
272 286 273
273 286 287
273 287 274
274 287 288
274 288 275
275 288 289
275 289 276
276 289 290
276 290 277
277 290 291
277 291 278
278 291 292
278 292 279
279 292 293
280 294 281
281 294 295
281 295 282
282 295 296
282 296 283
283 296 297
283 297 284
284 297 298
284 298 285
285 298 299
285 299 286
286 299 300
286 300 287
287 300 301
287 301 288
288 301 302
288 302 289
289 302 303
289 303 290
290 303 304
290 304 291
291 304 305
291 305 292
292 305 306
292 306 293
293 306 307
294 308 295
295 308 309
295 309 296
296 309 310
296 310 297
297 310 311
297 311 298
298 311 312
298 312 299
299 312 313
299 313 300
300 313 314
300 314 301
301 314 315
301 315 302
302 315 316
302 316 303
303 316 317
303 317 304
304 317 318
304 318 305
305 318 319
305 319 306
306 319 320
306 320 307
307 320 321
308 322 309
309 322 323
309 323 310
310 323 324
310 324 311
311 324 325
311 325 312
312 325 326
312 326 313
313 326 327
313 327 314
314 327 328
314 328 315
315 328 329
315 329 316
316 329 330
316 330 317
317 330 331
317 331 318
318 331 332
318 332 319
319 332 333
319 333 320
320 333 334
320 334 321
321 334 335
322 0 323
323 0 1
323 1 324
324 1 2
324 2 325
325 2 3
325 3 326
326 3 4
326 4 327
327 4 5
327 5 328
328 5 6
328 6 329
329 6 7
329 7 330
330 7 8
330 8 331
331 8 9
331 9 332
332 9 10
332 10 333
333 10 11
333 11 334
334 11 12
334 12 335
335 12 13
